Task ID,Task Name,Description,PIC,Status,Start,End
ogYwcdjr,การให้บริการลูกค้า,การสร้างทีมที่มีประสิทธิภาพ,Ryu,2 ขั้นตอน A,01/08/2024 11:00,01/08/2024 18:00
tCDRU2Vn,การสร้างทีม,การวางแผนธุรกิจให้ประสบความสำเร็จ,Oat,3 ขั้นตอน B,22/05/2024 10:00,22/05/2024 11:30
kHHpAGLm,การให้บริการลูกค้า,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Oat,2 ขั้นตอน A,29/12/2024 16:15,29/12/2024 19:00
QrIF5QBj,การจัดการเวลา,การทำการตลาดออนไลน์ให้ได้ผลลัพธ์,Xippar,3 ขั้นตอน B,28/10/2024 14:00,28/10/2024 15:15
V4ab9Ztr,การบริหารทรัพยากรบุคคล,การจัดการการเงินอย่างมีประสิทธิภาพ,Xippar,2 ขั้นตอน A,09/01/2024 12:45,09/01/2024 15:00
16KbBQnI,การพัฒนาผลิตภัณฑ์,การสร้างแบรนด์ที่แข็งแกร่ง,Oat,1 รอดำเนินการ,10/06/2024 13:30,10/06/2024 13:45
TjChJU6W,การให้บริการลูกค้า,การจัดการเวลาเพื่อเพิ่มประสิทธิภาพการทำงาน,Xippar,3 ขั้นตอน B,01/10/2024 16:30,01/10/2024 22:00
cQFevkvu,การบริหารทรัพยากรบุคคล,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Oat,4 เสร็จสิ้น,20/07/2024 16:00,20/07/2024 16:30
kIYCTOnb,การจัดการเวลา,การสร้างแบรนด์ที่แข็งแกร่ง,Ryu,1 รอดำเนินการ,22/02/2024 11:30,22/02/2024 13:15
F6tg6z2S,การวางแผนธุรกิจ,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Oat,4 เสร็จสิ้น,25/05/2024 14:00,25/05/2024 19:00
gL1doVP0,การจัดการการเงิน,การบริหารทรัพยากรบุคคลเพื่อการเติบโตขององค์กร,Ryu,1 รอดำเนินการ,04/02/2024 09:30,04/02/2024 10:45
cYpGc9dC,การจัดการการเงิน,การวางแผนธุรกิจให้ประสบความสำเร็จ,Ryu,3 ขั้นตอน B,25/05/2024 17:00,26/05/2024 00:00
5crlMAH3,การวิเคราะห์ตลาด,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Ryu,4 เสร็จสิ้น,03/01/2024 10:15,03/01/2024 17:30
Vn94ZkK8,การจัดการการเงิน,การวางแผนธุรกิจให้ประสบความสำเร็จ,Ryu,4 เสร็จสิ้น,22/08/2024 13:15,22/08/2024 18:15
j81ZxKEo,การจัดการเวลา,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Ryu,1 รอดำเนินการ,05/09/2024 10:15,05/09/2024 18:00
LaSpQVWo,การพัฒนาผลิตภัณฑ์,การจัดการการเงินอย่างมีประสิทธิภาพ,Ryu,3 ขั้นตอน B,28/04/2024 17:00,28/04/2024 20:45
FZjlHxb1,การสร้างแบรนด์,การวิเคราะห์ตลาดเพื่อเข้าใจความต้องการของลูกค้า,Praew,3 ขั้นตอน B,22/05/2024 12:30,22/05/2024 13:30
uaISChcR,การวางแผนธุรกิจ,การสร้างทีมที่มีประสิทธิภาพ,Ryu,2 ขั้นตอน A,18/10/2024 13:00,18/10/2024 16:30
QCBvGSQn,การจัดการการเงิน,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Oat,4 เสร็จสิ้น,06/10/2024 17:45,06/10/2024 18:30
T8Qa3R4M,การให้บริการลูกค้า,การทำการตลาดออนไลน์ให้ได้ผลลัพธ์,Praew,1 รอดำเนินการ,27/02/2024 14:00,27/02/2024 14:30
pPsfsmZG,การวางแผนธุรกิจ,การจัดการเวลาเพื่อเพิ่มประสิทธิภาพการทำงาน,Xippar,4 เสร็จสิ้น,29/06/2024 16:45,29/06/2024 17:00
GafVKC3A,การทำการตลาดออนไลน์,การทำการตลาดออนไลน์ให้ได้ผลลัพธ์,Xippar,4 เสร็จสิ้น,30/06/2024 14:45,30/06/2024 18:30
NLaa0A5f,การจัดการเวลา,การจัดการการเงินอย่างมีประสิทธิภาพ,Praew,3 ขั้นตอน B,23/08/2024 11:15,23/08/2024 19:00
qH5Ols1I,การวางแผนธุรกิจ,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Praew,2 ขั้นตอน A,25/11/2024 16:15,25/11/2024 18:30
EZQ4A7KQ,การวางแผนธุรกิจ,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Praew,3 ขั้นตอน B,12/05/2024 14:15,12/05/2024 20:15
stTSUk9n,การสร้างแบรนด์,การพัฒนาผลิตภัณฑ์ที่ตรงกับความต้องการของตลาด,Oat,4 เสร็จสิ้น,31/03/2024 12:30,31/03/2024 17:45
nJ0vn7VK,การจัดการการเงิน,การจัดการเวลาเพื่อเพิ่มประสิทธิภาพการทำงาน,Xippar,3 ขั้นตอน B,23/02/2024 15:30,23/02/2024 17:30
qXSPMZqY,การบริหารทรัพยากรบุคคล,การทำการตลาดออนไลน์ให้ได้ผลลัพธ์,Ryu,2 ขั้นตอน A,14/08/2024 12:15,14/08/2024 12:30
tMZfx9i5,การทำการตลาดออนไลน์,การสร้างทีมที่มีประสิทธิภาพ,Praew,4 เสร็จสิ้น,04/11/2024 13:00,04/11/2024 15:15
8GMHZPLO,การวิเคราะห์ตลาด,การวางแผนธุรกิจให้ประสบความสำเร็จ,Xippar,2 ขั้นตอน A,18/08/2024 16:15,18/08/2024 23:15
PwOUCcLQ,การสร้างแบรนด์,การสร้างทีมที่มีประสิทธิภาพ,Oat,3 ขั้นตอน B,01/08/2024 14:00,01/08/2024 18:00
NvP9doqy,การให้บริการลูกค้า,การบริหารทรัพยากรบุคคลเพื่อการเติบโตขององค์กร,Ryu,4 เสร็จสิ้น,26/11/2024 15:15,26/11/2024 18:45
YGsbG71l,การจัดการเวลา,การให้บริการลูกค้าอย่างมีประสิทธิภาพ,Ryu,1 รอดำเนินการ,11/08/2024 15:15,11/08/2024 22:00
